t, PE, KE, TE,q1, q2,
0.183125, 645.327570, 116.887561, 762.215131,-0.721667, 1.162472,
0.183750, 645.028839, 114.184000, 759.212839,-0.724390, 1.166798,
0.184375, 644.732120, 111.531611, 756.263731,-0.727079, 1.171109,
0.185000, 644.437432, 108.930246, 753.367678,-0.729733, 1.175407,
0.185625, 644.144813, 106.379743, 750.524556,-0.732353, 1.179690,
0.186250, 643.854282, 103.879926, 747.734209,-0.734938, 1.183959,
0.186875, 643.565876, 101.430606, 744.996482,-0.737489, 1.188214,
0.187500, 643.279611, 99.031579, 742.311190,-0.740006, 1.192455,
0.188125, 642.995522, 96.682630, 739.678153,-0.742488, 1.196681,
0.188750, 642.713625, 94.383530, 737.097155,-0.744936, 1.200892,
0.189375, 642.433953, 92.134039, 734.567992,-0.747350, 1.205089,
0.190000, 642.156520, 89.933902, 732.090422,-0.749729, 1.209272,
0.190625, 641.881359, 87.782856, 729.664215,-0.752074, 1.213439,
0.191250, 641.608480, 85.680624, 727.289104,-0.754385, 1.217592,
0.191875, 641.337915, 83.626921, 724.964836,-0.756661, 1.221730,
0.192500, 641.069675, 81.621445, 722.691120,-0.758904, 1.225853,
0.193125, 640.803789, 79.663891, 720.467680,-0.761112, 1.229961,
0.193750, 640.540266, 77.753936, 718.294202,-0.763286, 1.234053,
0.194375, 640.279133, 75.891257, 716.170390,-0.765426, 1.238131,
0.195000, 640.020399, 74.075508, 714.095907,-0.767533, 1.242194,
0.195625, 639.764090, 72.306349, 712.070438,-0.769605, 1.246241,
0.196250, 639.510211, 70.583415, 710.093626,-0.771643, 1.250273,
0.196875, 639.258789, 68.906347, 708.165136,-0.773647, 1.254289,
0.197500, 639.009828, 67.274766, 706.284593,-0.775618, 1.258290,
0.198125, 638.763351, 65.688292, 704.451644,-0.777555, 1.262276,
0.198750, 638.519363, 64.146532, 702.665895,-0.779458, 1.266246,
0.199375, 638.277885, 62.649092, 700.926976,-0.781328, 1.270200,
